0,0,1.0533,1.0533
1,0.021066,1.0428,1.0324
2,0.042133,1.0322,1.0116
3,0.063199,1.0217,0.99106
4,0.084265,1.0112,0.97074
5,0.10533,1.0006,0.95062
6,0.1264,0.99012,0.93071
7,0.14746,0.97958,0.91101
8,0.16853,0.96905,0.89153
9,0.1896,0.95852,0.87225
10,0.21066,0.94798,0.85319
11,0.23173,0.93745,0.83433
12,0.2528,0.92692,0.81569
13,0.27386,0.91638,0.79725
14,0.29493,0.90585,0.77903
15,0.31599,0.89532,0.76102
16,0.33706,0.88478,0.74322
17,0.35813,0.87425,0.72563
18,0.37919,0.86372,0.70825
19,0.40026,0.85319,0.69108
20,0.42133,0.84265,0.67412
21,0.44239,0.83212,0.65737
22,0.46346,0.82159,0.64084
23,0.48452,0.81105,0.62451
24,0.50559,0.80052,0.60839
25,0.52666,0.78999,0.59249
26,0.54772,0.77945,0.5768
27,0.56879,0.76892,0.56131
28,0.58986,0.75839,0.54604
29,0.61092,0.74785,0.53098
30,0.63199,0.73732,0.51612
31,0.65306,0.72679,0.50148
32,0.67412,0.71625,0.48705
33,0.69519,0.70572,0.47283
34,0.71625,0.69519,0.45882
35,0.73732,0.68465,0.44503
36,0.75839,0.67412,0.43144
37,0.77945,0.66359,0.41806
38,0.80052,0.65306,0.40489
39,0.82159,0.64252,0.39194
40,0.84265,0.63199,0.37919
41,0.86372,0.62146,0.36666
42,0.88478,0.61092,0.35434
43,0.90585,0.60039,0.34222
44,0.92692,0.58986,0.33032
45,0.94798,0.57932,0.31863
46,0.96905,0.56879,0.30715
47,0.99012,0.55826,0.29588
48,1.0112,0.54772,0.28482
49,1.0322,0.53719,0.27397
50,1.0533,0.52666,0.26333
51,1.0744,0.51612,0.2529
52,1.0954,0.50559,0.24268
53,1.1165,0.49506,0.23268
54,1.1376,0.48452,0.22288
55,1.1586,0.47399,0.2133
56,1.1797,0.46346,0.20392
57,1.2008,0.45293,0.19476
58,1.2218,0.44239,0.1858
59,1.2429,0.43186,0.17706
60,1.264,0.42133,0.16853
61,1.285,0.41079,0.16021
62,1.3061,0.40026,0.1521
63,1.3272,0.38973,0.1442
64,1.3482,0.37919,0.13651
65,1.3693,0.36866,0.12903
66,1.3904,0.35813,0.12176
67,1.4114,0.34759,0.11471
68,1.4325,0.33706,0.10786
69,1.4536,0.32653,0.10122
70,1.4746,0.31599,0.094798
71,1.4957,0.30546,0.088584
72,1.5168,0.29493,0.08258
73,1.5378,0.2844,0.076787
74,1.5589,0.27386,0.071204
75,1.58,0.26333,0.065832
76,1.601,0.2528,0.060671
77,1.6221,0.24226,0.05572
78,1.6432,0.23173,0.05098
79,1.6642,0.2212,0.046451
80,1.6853,0.21066,0.042133
81,1.7064,0.20013,0.038025
82,1.7274,0.1896,0.034127
83,1.7485,0.17906,0.030441
84,1.7696,0.16853,0.026965
85,1.7906,0.158,0.0237
86,1.8117,0.14746,0.020645
87,1.8328,0.13693,0.017801
88,1.8538,0.1264,0.015168
89,1.8749,0.11586,0.012745
90,1.896,0.10533,0.010533
91,1.917,0.094798,0.0085319
92,1.9381,0.084265,0.0067412
93,1.9592,0.073732,0.0051612
94,1.9802,0.063199,0.0037919
95,2.0013,0.052666,0.0026333
96,2.0224,0.042133,0.0016853
97,2.0434,0.031599,0.00094798
98,2.0645,0.021066,0.00042133
99,2.0856,0.010533,0.00010533
