.19455929,19.32339,.012885079,24.898001,1956.8416
.21716122,20.1657,.012264312,24.732,1851.7166
.20965232,21.02309,.011635886,24.462,2157.7522
.21511409,21.00439,.011664578,24.500999,2332.0381
.21304044,21.33241,.01167953,24.915001,2139.8416
.21141814,21.75622,.011593943,25.224001,2257.7166
.22112074,21.94099,.011591285,25.431999,2427.7522
.22342366,22.05268,.011609,25.601,2399.0381
.22563672,23.35359,.011414546,26.657,2360.8416
.21401045,23.88709,.011078311,26.462999,2189.7166
.20502302,24.47632,.01090452,26.690001,2428.7522
.17889628,24.26834,.011005049,26.707001,2778.0381
.18581311,25.01793,.010983,27.476999,2981.8416
.21029708,25.85755,.010778559,27.871,2940.7166
.20399402,26.15098,.010728282,28.056,2648.7522
.23238446,26.21184,.010637337,27.882,2551.0381
.22444116,27.00912,.010480362,28.306999,2685.8416
.20788382,26.92174,.010495139,28.254999,2954.7166
.20824826,25.93204,.010750397,27.878,2681.7522
.1819831,25.08302,.011165877,28.007,2311.0381
.19076306,25.40333,.011300398,28.707001,2189.8416
.17453291,26.2873,.010516882,27.646,2272.7166
